time,volume,v_rel
167.199996948242,232.71492731571198,-0.030077623847319986
167.300003051758,232.26025891304016,-0.031972616414267435
167.399993896484,231.80254352092743,-0.03388030839535533
167.5,231.37870609760284,-0.035646801870764015
167.600006103516,231.0197977423668,-0.03714268032062098
167.699996948242,230.70224541425705,-0.038466192792234656
167.800003051758,230.34238696098328,-0.03996603111418471
167.899993896484,229.88536882400513,-0.04187081703606652
168.0,229.3889644742012,-0.0439397590332473
168.100006103516,228.86413073539734,-0.046127190638505434
168.199996948242,228.3528990149498,-0.04825793098585067
168.300003051758,227.88189750909805,-0.050220997579801696
168.399993896484,227.45759576559067,-0.05198942627500995
168.5,227.0755660533905,-0.053581671218177765
168.600006103516,226.72917938232422,-0.055025361087768454
168.699996948242,226.40620458126068,-0.05637147364744969
168.800003051758,226.0960230231285,-0.05766426580896904
168.899993896484,225.79062765836716,-0.05893710980428994
169.0,225.47767400741577,-0.06024145565033284
169.100006103516,225.16197085380554,-0.06155726102835706
169.199996948242,224.84405183792114,-0.06288230180192285
169.300003051758,224.5194503068924,-0.06423519433833963
169.399993896484,224.20080018043518,-0.06556328227571308
169.5,223.89464741945267,-0.06683928298964671
169.600006103516,223.6061408519745,-0.06804173690479441
169.699996948242,223.34003776311874,-0.06915081634040096
169.800003051758,223.0965957045555,-0.07016544785811542
169.899993896484,222.87668311595917,-0.07108201192616888
170.0,222.6789472103119,-0.07190614676645748
170.100006103516,222.50318038463593,-0.07263871763836019
170.199996948242,222.35281056165695,-0.07326543745254538
170.300003051758,222.22894555330276,-0.07378168900808946
170.399993896484,222.13250744342804,-0.07418362919198866
170.5,222.06465405225754,-0.07446643237592378
170.600006103516,222.02709752321243,-0.07462296259214861
170.699996948242,222.02208143472672,-0.07464386892815025
170.800003051758,222.0524456501007,-0.07451731524177842
170.899993896484,222.12110596895218,-0.07423114889922372
171.0,222.23150700330734,-0.07377101325254816
171.100006103516,222.3857969045639,-0.07312795511541324
171.199996948242,222.58544892072678,-0.07229583420183879
171.300003051758,222.82836520671844,-0.07128339402864961
171.399993896484,223.11070477962494,-0.07010664326068583
171.5,223.4273053407669,-0.06878709761702588
171.600006103516,223.77191770076752,-0.06735080282099022
171.699996948242,224.13829106092453,-0.06582381130333634
171.800003051758,224.52104020118713,-0.06422856788738536
171.899993896484,224.9159119129181,-0.06258279933555552
172.0,225.32006454467773,-0.060898349242704916
172.100006103516,225.732135951519,-0.059180894833234014
172.199996948242,226.15209156274796,-0.057430580192827506
172.300003051758,226.580732524395,-0.055644066259954446
172.399993896484,227.01938182115555,-0.053815839024515824
172.5,227.46956634521484,-0.05193953461929655
172.600006103516,227.93275368213654,-0.05000903635855783
172.699996948242,228.41062009334564,-0.048017357825557265
172.800003051758,228.9039821624756,-0.045961095617052986
172.899993896484,229.41323179006577,-0.0438386163479125
173.0,229.93776148557663,-0.04165245195140887
173.100006103516,230.4766045808792,-0.039406631361394405
173.199996948242,231.0289997458458,-0.037104327692439064
173.300003051758,231.5907079577446,-0.03476320858214563
173.399993896484,232.14261984825134,-0.032462919131692844
173.5,232.6517540216446,-0.030340921059054504
173.600006103516,233.1102618575096,-0.02842992628628043
173.699996948242,233.50815719366074,-0.026771555702359104
173.800003051758,233.78274762630463,-0.025627102237466254
173.899993896484,233.8989513516426,-0.02514278180861511
174.0,233.8432235121727,-0.025375047435491637
174.100006103516,233.63525813817978,-0.02624181722988065
174.199996948242,233.3147764801979,-0.027577538727459636
174.300003051758,232.91845440864563,-0.029229352170609502
174.399993896484,232.47586339712143,-0.03107400790676256
174.5,232.01320052146912,-0.03300232028829506
174.600006103516,231.56040197610855,-0.03488951955866582
174.699996948242,231.15214318037033,-0.036591083552927534
174.800003051758,230.81145006418228,-0.038011043503943805
174.899993896484,230.48786276578903,-0.039359708864480036
175.0,230.11706793308258,-0.040905128444358854
175.100006103516,229.65606945753098,-0.04282650384544421
175.199996948242,229.14316481351852,-0.044964216697810575
175.300003051758,228.62112802267075,-0.04713999102590633
175.399993896484,228.1211275458336,-0.049223921163801816
175.5,227.66284024715424,-0.05113399676927699
175.600006103516,227.24995028972626,-0.05285486277996837
175.699996948242,226.87680679559708,-0.05441007124315686
175.800003051758,226.5334649682045,-0.05584107064185649
175.899993896484,226.21052384376526,-0.05718704284220695
176.0,225.89658761024475,-0.058495483951201833
176.100006103516,225.58395266532898,-0.05979850147628603
176.199996948242,225.26842707395554,-0.06111356680042283
176.300003051758,224.9446857571602,-0.062462874087526724
176.399993896484,224.62129080295563,-0.06381073778512415
176.5,224.30208307504654,-0.06514114972522224
176.600006103516,223.99390971660614,-0.06642557199900254
176.699996948242,223.69958800077438,-0.06765226261685701
176.800003051758,223.42727333307266,-0.06878723102049603
176.899993896484,223.17878127098083,-0.06982291022723727
177.0,222.95480436086655,-0.07075641380333864
177.100006103516,222.7536329627037,-0.07159486728275533
177.199996948242,222.57399147748947,-0.07234358717882888
177.300003051758,222.41801071166992,-0.0729936925964868
177.399993896484,222.28797978162766,-0.0735356428275901
177.5,222.18462091684341,-0.07396642772344669
177.600006103516,222.1089804172516,-0.0742816864562823
177.699996948242,222.06240487098694,-0.07447580664025456
177.800003051758,222.04674530029297,-0.0745410734806426
177.899993896484,222.06455439329147,-0.07446684774017344
178.0,222.1188150048256,-0.07424069730849411
178.100006103516,222.2126772403717,-0.07384949299864604
178.199996948242,222.34942948818207,-0.07327952928093187
178.300003051758,222.53055042028427,-0.07252464326282426
178.399993896484,222.75650835037231,-0.07158288308014285
178.5,223.02406072616577,-0.07046776322484097
178.600006103516,223.32851266860962,-0.06919885127817059
178.699996948242,223.6638354063034,-0.06780127429300047
178.800003051758,224.02377915382385,-0.06630108047688697
178.899993896484,224.40231680870056,-0.06472338992683822
179.0,224.794496178627,-0.06308884266876276
179.100006103516,225.19672548770905,-0.06141240870845293
179.199996948242,225.60699033737183,-0.05970248376970157
179.300003051758,226.02471989393234,-0.05796144700527126
179.399993896484,226.4503059387207,-0.05618766552687669
179.5,226.88471907377243,-0.05437709400470834
179.600006103516,227.32944071292877,-0.05252355811875355
179.699996948242,227.78579187393188,-0.050621552056891915
179.800003051758,228.25539815425873,-0.04866430056243618
179.899993896484,228.73962152004242,-0.04664612715625668
180.0,229.23912912607193,-0.04456425123306244
180.100006103516,229.75368785858154,-0.04241964437753074
180.199996948242,230.28240317106247,-0.04021603493096481
180.300003051758,230.82506614923477,-0.03795429361806265
180.399993896484,231.38009810447693,-0.03564100018614281
180.5,231.93523180484772,-0.033327282695147495
180.600006103516,232.46070700883865,-0.031137177555167535
180.699996948242,232.9361057281494,-0.029155784007394454
180.800003051758,233.36385244131088,-0.02737299717370663
180.899993896484,233.69599443674088,-0.025988677065222548
181.0,233.88101208209991,-0.025217550106214202
181.100006103516,233.89570355415344,-0.025156318161844743
181.199996948242,233.7502155303955,-0.025762691338386247
181.300003051758,233.47258931398392,-0.026919797513783823
181.399993896484,233.1063650250435,-0.028446167724028366
181.5,232.68196159601212,-0.030215020229888492
181.600006103516,232.22495049238205,-0.032119776837786176
181.699996948242,231.7606636285782,-0.03405485776856889
181.800003051758,231.31952470541,-0.03589346140911769
181.899993896484,230.93530905246735,-0.03749481703918275
182.0,230.6132606267929,-0.038837068599361424
182.100006103516,230.28558230400085,-0.04020278476171581
182.199996948242,229.87044644355774,-0.041933011373440285
182.300003051758,229.3982470035553,-0.04390107078478949
182.399993896484,228.88099020719528,-0.04605692278274062
182.5,228.36412572860718,-0.04821113965659409
182.600006103516,227.8779170513153,-0.050237587555852434
182.699996948242,227.43629693984985,-0.05207819672007799
182.800003051758,227.03649628162384,-0.05374450841261461
182.899993896484,226.6730151772499,-0.055259445423778836
183.0,226.3350366950035,-0.056668091170616455
183.100006103516,226.01115602254868,-0.05801797927208381
183.199996948242,225.69430869817734,-0.05933855338942415
183.300003051758,225.37662142515182,-0.060662628292055314
183.399993896484,225.05226743221283,-0.06201448912528498
183.5,224.73126423358917,-0.06335238432931407
183.600006103516,224.40791028738022,-0.06470007711147863
183.699996948242,224.09408622980118,-0.06600805068726905
183.800003051758,223.7954808473587,-0.06725259501199844
183.899993896484,223.51680946350098,-0.06841405729512201
184.0,223.26222789287567,-0.0694751166983746
184.100006103516,223.03132265806198,-0.07043749653622983
184.199996948242,222.82454603910446,-0.07129931177045418
184.300003051758,222.64040631055832,-0.07206677969834213
184.399993896484,222.47817713022232,-0.07274292760981377
184.5,222.34110873937607,-0.0733142089662721
184.600006103516,222.23033010959625,-0.07377591837641755
184.699996948242,222.14659333229065,-0.07412492123133727
